title,plot,genres
Snow Flower and the Secret Fan,"In 19th-century China, seven year old girls Snow Flower and Lily are matched as laotong - or ""old sames"" - bound together for eternity. Isolated by their families, they furtively communicate by taking turns writing in a secret language, nu shu, between the folds of a white silk fan. In a parallel story in present day Shanghai, the laotong's descendants, Nina and Sophia, struggle to maintain the intimacy of their own childhood friendship in the face of demanding careers, complicated love lives, and a relentlessly evolving Shanghai. Drawing on the lessons of the past, the two modern women must understand the story of their ancestral connection, hidden from them in the folds of the antique white silk fan, or risk losing one another forever.","['Drama', 'History']"
Come Early Morning,"The sins of the fathers. In a town near Little Rock, Lucy Fowler works hard for a construction firm; on weekends she drinks, goes home with someone, and come early morning, wakes and leaves as fast as she can. She cares a lot about her father, newly back in town, a painfully shy man who has nothing to say to her. She does go to a Holy Roller church with him about the same time that she starts, fitfully, a relationship with Cal Percell, new in town and a good guy. She kisses him sober, but still has demons to confront. What's the source of her careless ways; can she turn coal into a diamond?","['Drama', 'Romance']"
Lucky Break,"Half-way through his 12-year prison sentence for an incompetent armed robbery, Jimmy Hands gets a lucky break: he's transferred to a prison from which he can probably escape. He convinces the governor to stage a musical in an old chapel next to the prison's outer wall. He rounds up volunteer actors and puts his escape plan into production. Two other barriers, besides the wall, confront him: the arrival of a nasty inmate, John Toombes, who insists on joining the escape, and Jimmy's feelings of attraction for Anabel, a social worker who agrees to appear in the play. Opening night approaches: is this Jimmy's breakout performance?","['Comedy', 'Crime', 'Romance']"
Julia,"This Oscar-winning drama, based on the writing of Lillian Hellman, depicts the relationship between two friends and its unexpected consequences. After Lillian, a renowned playwright, reunites in Russia with her childhood playmate Julia, the writer is recruited to smuggle funds into Germany to aid the anti-Nazi movement. Waiting in the wings is Lillian's lover and mentor, Dashiell Hammett, who is unaware of her dangerous assignment.",['Drama']
"Surfer, Dude","Steve Addington is the world's preeminent surfer - cool, laid back, stoned, shirtless and barefoot, living off endorsements for surfboards and trunks, paid in cash. In Malibu his endorsement contract has been bought by Eddie Zarno, a surfer turned businessman who wants Steve to record his moves for an electronic virtual reality game. Steve just wants to surf. While Zarno tries to change Steve's mind, the Pacific goes calm - there are no waves for days on end. Steve's attracted to Danni, recently fired by Zarno, but the lack of surfing drains him. Plus, he's low on dough. Will he sign with Zarno, get paid, and lose his self-respect?",['Comedy']
Lake of Fire,,['Documentary']
11:14,"A few incidents that happen at 11:14 p.m. in the town of Middleton are seen from five different perspectives, each of the players who generally works toward self interest, not caring about the consequence to other people, and in the process exacerbating the situations by his or her actions. Jack, in town to meet someone, is a chronic drinker and driver, he still doing so despite having his license temporarily suspended. Teens Mark, Eddie, and Tim are out for a joyride in Mark's van, they generally causing havoc all in the name of having fun, that is until something goes wrong. Frank, out for a walk with his dog, stumbles across something which makes him jump to a conclusion about his daughter, to whom he is both overprotective and overly trusting. Duffy, who works as a clerk at Lloyd's EZZZ Stop convenience store, goes to the store just as it is closing to ask his friend, the clerk on duty, Buzzy, for a favor, which may be difficult for her to grant based on her own needs, and Cheri is trying to get a few hundred dollars for an abortion from the purported ""fathers"", while in reality, she has another plan in mind. All their actions make for a busy night for the first responders on-duty, including Officer Hannagan, and paramedics Leon and Kevin.","['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Men of War,"Nick Gunar (Dolph Lundgren) is a burnt-out, jaded and hard-up former mercenary who is having a difficult time adjusting to civilian life. At the end of his rope, he is hired by the Nitro Mine Corporation to strong-arm the natives of a South China Sea island into giving up their rights to its valuable mineral resources. Nick loathes the thought of another mission, but this seemingly easy job will earn him enough money to get back with his estranged family. He recruits some of his former mercenary buddies to help him with the job. The island people refuse to give up their land and Nick decides to help them fight the greedy corporation that hired him. The island and its people bring Nick back to life. He finally finds something worth fighting for and a place to call home. As greed and treachery begin to unravel, Nick's band of mercenaries choose sides. Some are with him and others, still working for the corporation, will stop at nothing to destroy him.","['Action', 'Drama', 'Thriller']"
Don McKay,"Don McKay is living a very lowly life as a janitor. Then he receives a letter from his high school girlfriend, Sonny, who announces that she is dying and that she needs him to come back home. But when Don arrives back in his hometown, he finds Sonny's doctor has a crush on her and has no intention of letting Don back into her life, and the rest of the town remembers the tragedy that drove Don away in the first place and they have no intention of letting Don come back, at least not without paying some dues.","['Drama', 'Mystery', 'Thriller']"
Deadfall,"After a heist of a casino, the criminal Addison and his sister Liza are on the run to Canada. Addison tells his sister to get a ride to the border while he will cross the woods. Meanwhile, the former boxer Jay, released from prison on probation, calls his mother June who invites her son for Thanksgiving dinner. While driving on the road, he sees Liza and gives her a ride. But Sheriff Marshall T. Becker is hunting Addison with his men but excludes his daughter, Deputy Hanna, from the hunting party. An unlikely gathering of characters for a Thanksgiving celebration.","['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']"
A Shine of Rainbows,"Maire O'Donnell is a loving woman as rare as a double rainbow. Joyful, warm, and caring, she adopts a young orphan named Tomas and whisks him to a new home on remote Corry Island, off the coast of Ireland. Maire shares with Tomas the joys of her island home and introduces him to the whimsical local folklore, including the secret of the seals, and teaches him that everything you need is inside you, if you really look. But Maire's stern husband Alec silently disapproves of Tomas' timidity and halting speech. He can't hide his disappointment that Tomas isn't the kind of child he was hoping for, and his reluctance to get to know the boy makes Tomas unsure of whether he really belongs. But Tomas soon falls in love with his home, befriending local children, descending into a secret bat-filled cave, and saving a stranded baby seal. When tragedy strikes, however, Tomas is faced with his greatest challenge yet. He'll lose everything unless he can find--and share--his unique gifts. Risking all, Tomas embarks on a perilous journey where he will need to call on his ability to see joy and color even in the darkest place, in order to triumph and come home. A Shine Of Rainbows is a story about the transformational power of love, about finding acceptance, discovering ourselves, and realizing that rainbows are all around us--and within us.","['Drama', 'Family']"
The Hit List,"In Spokane, an elite government killer goes rogue on the day that engineer Allen Campbell loses a promotion and finds his best man with his wife. Allen goes drinking that night and chats up a stranger who turns out to be Jonas, the hit man. Jonas asks Allen to give him a list of five people he'd like to see dead, so a drunk Allen lists his boss, the guy who got the promotion, a nasty bookie, the best man, and his wife. By the next morning, the boss is dead, and Allen realizes Jonas is for real. Can he stop Jonas?","['Action', 'Thriller']"
Emma,"Emma Woodhouse seems to be perfectly content, to have a loving father for whom she cares, friends, and a home. But Emma has a terrible habit: matchmaking. She cannot resist finding suitors for her friends, most of all Harriet Smith. Emma is desperate for Harriet to find happiness, but every suitor she finds for her friend ends up attracted to Emma. But is Emma so focused on Harriet's happiness that she is not considering her own happiness in love?","['Comedy', 'Drama', 'Romance']"
Videodrome,"When Max Renn goes looking for edgy new shows for his sleazy cable TV station, he stumbles across the pirate broadcast of a hyper-violent torture show called Videodrome. As he struggles to unearth the origins of the program, he embarks on a hallucinatory journey into a shadow world of right-wing conspiracies, sadomasochistic sex games, and bodily transformation. Starring James Woods and Deborah Harry in one of her first film roles, Videodrome is one of writer/director David Cronenberg's most original and provocative works, fusing social commentary with shocking elements of sex and violence. With groundbreaking special effects makeup by Academy Award®-winner Rick Baker, Videodrome has come to be regarded as one of the most influential and mind-bending science fiction films of the 1980s.","['Horror', 'Sci-Fi', 'Thriller']"
The Spanish Apartment,"As part of a job that he is promised, Xavier, an economics student in his twenties, signs on to a European exchange program in order to gain working knowledge of the Spanish language. Promising that they'll remain close, he says farewell to his loving girlfriend, then heads to Barcelona. Following his arrival, Xavier is soon thrust into a cultural melting pot when he moves into an apartment full of international students. An Italian, an English girl, a boy from Denmark, a young girl from Belgium, a German and a girl from Tarragona all join him in a series of adventures that serve as an initiation to life.","['Comedy', 'Drama', 'Romance']"
Song One,"Estranged from her family, Franny returns home when an accident leaves her brother comatose. Retracing his life as an aspiring musician, she tracks down his favorite musician, James Forester. Against the backdrop of Brooklyn's music scene, Franny and James develop an unexpected relationship and face the realities of their lives.","['Drama', 'Music', 'Romance']"
Winter in Wartime,"Near the end of World War II, 14-year-old Michiel becomes involved with the Resistance after coming to the aid of a wounded British soldier. With the conflict coming to an end, Michiel comes of age and learns of the stark difference between adventure fantasy and the ugly realities of war.","['Drama', 'History', 'War']"
Freaky Deaky,"He used to be on the bomb squad, but it's not until he transfers out that Chris Mankowski really begins juggling with dynamite. Rape and revenge are just the tip of the iceberg in a twisty tale that brings Detroit denizens to life - and occasional death - in all their seedy glory, circa 1974.","['Comedy', 'Crime', 'Thriller']"
The Train,"As the Allied forces approach Paris in August 1944, German Colonel Von Waldheim is desperate to take all of France's greatest paintings to Germany. He manages to secure a train to transport the valuable art works even as the chaos of retreat descends upon them. The French resistance however wants to stop them from stealing their national treasures but have received orders from London that they are not to be destroyed. The station master, Labiche, is tasked with scheduling the train and making it all happen smoothly but he is also part of a dwindling group of resistance fighters tasked with preventing the theft. He and others stage an elaborate ruse to keep the train from ever leaving French territory.","['Action', 'Thriller', 'War']"
Trade of Innocents,"In the back streets of a tourist town in present-day Southeast Asia, we find a filthy cinder block room; a bed with soiled sheets; a little girl waits for the next man. Alex (Dermot Mulroney), a human trafficking investigator, plays the role of her next customer as he negotiates with the pimp for the use of the child. Claire (Mira Sorvino), Alex's wife, is caught up in the flow of her new life in Southeast Asia and her role as a volunteer in an aftercare shelter for rescued girls where lives of local neighborhood girl's freedoms and dignity are threatened. Parallel story lines intertwine and unfold twists against the backdrop of the dangerous human trafficking world, in a story of struggle, life, hope and redemption in the ""TRADE of INNOCENTS.""","['Action', 'Adventure', 'Drama', 'Mystery', 'Thriller']"
The Protector,"In Bangkok, the young Kham was raised by his father in the jungle with elephants as members of their family. When his old elephant and the baby Kern are stolen by criminals, Kham finds that the animals were sent to Sidney. He travels to Australia, where he locates the baby elephant in a restaurant owned by the evil Madame Rose, the leader of an international Thai mafia. With the support of the efficient Thai sergeant Mark, who was involved in a conspiracy, Kham fights to rescue the animal from the mobsters.","['Action', 'Crime', 'Drama', 'Thriller']"
Stiff Upper Lips,"Young upper-class fellow Edward (Samuel West) arrives with his friend Cedric Trilling (Robert Portal) at the family manse, Ivory Hall. He plans to pair off Cedric with his sister Emily (Georgina Cates). Emily, on the other hand, falls in love with a son of local peasant, George (Sean Pertwee). Old Aunt Agnes (Prunella Scales) sends all the bunch off, first to Italy and then to India, so Emily would forget George, who is an undesirable partner for her because of class differences, and choose Cedric.",['Comedy']
The Inbetweeners,"The exploits of four friends, who are socially only marginally above what one of them calls ""the freaks"", are presented as they grow from their late teen years into adults and as they go on their quest, usually unsuccessfully, for such grown up things as beer and sex. Simon Cooper, Jay Cartwright and Neil Sutherland have been friends for some time. Insecure Simon's main quest in life is to get long time friend, Carli D'Amato, to be his girlfriend. Jay is the big talker whose stories, especially about his sexual conquests, are more fantasy than reality. And slightly dim-witted Neil is generally two steps behind everyone else in comprehension of life, and who is always defending his father from beliefs that he's a closet homosexual. Into the group comes its fourth member, Will McKenzie, who met them when he transferred into their school, Rudge Park Comprehensive, at the start of sixth form, as Will's newly divorced mum could no longer afford his private school tuition. Nerdish and straight-laced Will, ridiculed for carrying a briefcase, insinuated himself in the group - not aiming his sights too high - as he tried not to be labeled as one of the freaks. Regardless, he is still the target of the school's ""psycho bully"", Mark Donovan, and the head of Rudge Park's sixth form, Mr. Gilbert. Will's initial saving grace in bonding with his new mates may have been that they all want to shag his pretty but protective mother, Polly.",['Comedy']
Bend It Like Beckham,"A kaleidoscope of color and culture clash humorously as an Indian family in London tries to raise their soccer-playing daughter in a traditional way. Unlike tarty elder sister Pinky, who is preparing for an Indian wedding and a lifetime of cooking the perfect chapatti, Jess' dream is to play soccer professionally like her hero David Beckham. Wholeheartedly against Jess' unorthodox ambition, her parents eventually reveal that their reservations have more to do with protecting her than with holding her back. When Jess is forced to make a choice between tradition and her beloved sport, her family must decide whether to let her chase her dream...and a soccer ball.","['Comedy', 'Drama', 'Romance', 'Sport']"
Sunshine State,"Real estate developers descend upon a sleepy coastal Florida community with the promise of big money and bigger changes. Torn between honoring family obligations and the lure of quick cash, the locals greet the outsiders with a wildly mixed reception. Marly Temple is eager to give in and sell the family business to start over her life. As caretaker of her father's motel and cafe, she has grown resentful of missed opportunities. However, she finds a glimmer of hope in a tentative romance with a visiting landscape architect. Desiree Perry left town many years ago to escape a scandal and make a name for herself as an actress. Reluctantly returning home, she finds her strong willed mother unwilling to let go of the past.","['Drama', 'Romance']"
Crossover,"A naturally talented basketball player, Noah Cruise is determined to become a doctor using his basketball scholarship to UCLA pre-med, rather than succumb to the lure of former sports agent Vaughn and go for the NBA. His best friend, the buddy that took the fall for him and did the time for an assault charge, Tech, also an outstanding basketball player, has less lofty ambitions: he wants to get his GED and win an underground street ball game against his arrogant rival, Jewelz. Their lives change drastically when they both fall in love with two local girls, Vanessa Lilly and Eboni Jackson, and take fateful trip out to L.A. together.","['Action', 'Sport']"
Khiladi 786,,"['Action', 'Comedy', 'Romance']"
[Rec]²,"The medical Dr. Owen leads a three-men SWAT team inside the sealed off building to get blood sample from the girl Medeiros to develop an antidote. They are attacked by the zombie-like creatures and Dr. Owen locks a zombie inside a room using a crucifix. He discloses that the patient zero was possessed by the evil and the Vatican sent him to save mankind. Further, they will only leave the building under his voice command. Meanwhile, three teenagers follow a fireman and a man that breaks into the building through the sewage system to rescue his colleague and daughter respectively and they are trapped inside. They are lured and release the evil creature that was locked by Dr. Owen in a room. Out of the blue, the lead team meets the journalist Ângela Vidal hidden inside the building.","['Horror', 'Thriller']"
Standing Ovation,,['Musical']
The Sting,"Johnny Hooker, a small time grifter, unknowingly steals from Doyle Lonnegan, a big time crime boss, when he pulls a standard street con. Lonnegan demands satisfaction for the insult. After his partner, Luther, is killed, Hooker flees, and seeks the help of Henry Gondorff, one of Luther's contacts, who is a master of the long con. Hooker wants to use Gondorff's expertise to take Lonnegan for an enormous sum of money to even the score, since he admits he ""doesn't know enough about killing to kill him."" They devise a complicated scheme and amass a talented group of other con artists who want their share of the reparations. The stakes are high in this game, and our heroes must not only deal with Lonnegan's murderous tendencies, but also other side players who want a piece of the action. To win, Hooker and Gondorff will need all their skills...and a fair amount of confidence.","['Comedy', 'Crime', 'Drama']"
Chariots of Fire,"During the post-World War I era, Britons Harold Abrahams and Eric Liddell are both naturally gifted fast sprinters, but approach running and how it fits into their respective lives differently. Harold, the son of a Lithuanian Jew, lives a somewhat-privileged life as a student at Cambridge and uses being the fastest to overcome what he sees as the obstacles he faces in life a Jew despite that privilege. In his words to paraphrase an old adage, he is often invited to the trough, but isn't allowed to drink. His running prowess does earn him the respect of his classmates, especially his running teammates, and to some extent the school administration, if only he maintains what they consider proper gentlemanly decorum, which isn't always the case in their minds. Eric Liddell, a Scot born to Christian missionaries in China, is a devout member of the Church of Scotland who hopes to eventually return to that missionary work. He sees running as a win-win: the notoriety of being fast gives him an added outlet to spread the word of God, while he sees his speed as being a gift from God, and he wants to run to honor God and that gift. This view does not sit well with his sister Jennie, who sees his running as only taking away time from his work to God. Harold and Eric's lives intersect in national races, but it is the 100-meter track event at the 1924 Paris Olympics which the two men and their supporters most anticipate. Beyond the fact that Americans Charles Paddock and Jackson Scholz are favored in the event, the much-anticipated head-to-head between Harold and Eric could be further shadowed by other issues, especially as it affects Eric's Christian beliefs.","['Biography', 'Drama', 'Sport']"
Diary of a Mad Black Woman,"Helen McCarter has everything a woman wants: a nice house and rich husband. However after her husband Charles throws her out of the house after admitting to an affair a distraught Helen turns to her mother, grandmother Madea and cousin Brian who take her in and turn back to God. Helen learns for the first time in her life to stand up on her two feet and is ready to remove herself from her relationship with Charles and move on with Orlando. But when her husband is almost killed by a vengeful client, Helen wonders if she has the heart to forgive him despite everything.","['Comedy', 'Drama', 'Romance']"
Shine,"As a child piano prodigy, David Helfgott's musical ambitions generate friction with his overbearing father, Peter. When Helfgott travels to London on a musical scholarship, his career as a pianist blossoms. However, the pressures of his newfound fame, coupled with the echoes of his tumultuous childhood, conspire to bring Helfgott's latent schizophrenia boiling to the surface, and he spends years in and out of various mental institutions.","['Biography', 'Drama', 'Music', 'Romance']"
Don Jon,"Jon Martello objectifies everything in his life: his apartment, his car, his family, his church, and, of course, women. His buddies even call him Don Jon because of his ability to pull ""10s"" every weekend without fail. Yet even the finest flings don't compare to the transcendent bliss he achieves alone in front of the computer watching pornography. Dissatisfied, he embarks on a journey to find a more gratifying sex life, but ends up learning larger lessons of life and love through relationships with two very different women.","['Comedy', 'Drama', 'Romance']"
High Plains Drifter,"A Stranger (Clint Eastwood) rides into in the dusty mining town of Lago, where the townspeople are living in the shadow of a dark secret. After a shoot-out leaves the town's hired-gun protectors dead, the town's leaders petition the Stranger to stay and protect them from three ruthless outlaws who are soon to be released from prison. The three have their sights set on returning to Lago to wreak havoc and take care of some unfinished business. A series of events soon has the townspeople questioning whether siding with the Stranger was a wise idea, as they quickly learn the price that they each must pay for his services. As the outlaws make their way back into Lago, they discover that the town is not exactly as they had left it, and waiting in the shadows is the Stranger, ready to expose the town's secret and serve up his own brand of justice.","['Drama', 'Mystery', 'Western']"
Ghost World,"Best friends Enid and Rebecca have just graduated from high school, although Enid has to take a summer school art class, which she failed during the regular school year, to graduate officially. Their plan since seventh grade has been not to go to college, but rather move in together after graduating, which now entails them getting jobs to pay for that independence. As Enid is constantly drawing things which she witnesses in her day-to-day life in her notebook for her own pleasure, that art class failing grade is only one demonstration of the contempt both Enid and Rebecca have for anything that is mainstream, which includes the structure of school and most of their classmates. Their ""people"", as Enid confirms, are the freaks, sickos and weirdos of society. Just for fun, they decide to respond to an ""I Saw You"" personal ad to see what loser placed the ad, who, he believes in attending the date, would be stood up by the woman for who he is looking. He is forty-something Seymour, who would admit that he beats to his own drummer and too cannot tolerate being with people who he just doesn't understand. Although Enid does not admit to Seymour that she and Rebecca were the ones that answered the ad, Enid becomes his friend based on their shared sensibilities. As Enid and Rebecca move on to the post-graduation phase of their lives, Enid slowly begins to alienate all around her, including Rebecca and possibly Seymour as she subversively begins to direct things in his life to thwart anything that is remotely mainstream. Enid believes that life as she knows it will be all right as long as she has one touchstone which to return, that touchstone which may not be as permanent as she believes.","['Comedy', 'Drama']"
Iris,"This movie is based on the life of revered British writer and philosopher Iris Murdoch (Dame Judi Dench), is a story of unlikely yet enduring love. As a young academic, teaching philosophy at Oxford, Murdoch (Kate Winslet) meets and eventually falls in love with fellow professor John Bayley (Hugh Bonneville), a man whose awkwardness seems in stark opposition to the spirited self-confidence of his future wife. The story unfolds as snippets of time, seen through older Bayley's (Jim Broadbent's) eyes. He recalls their first encounter over forty years ago, activities they enjoyed doing together, and Iris' charismatic and individualistic personality. These images portray Murdoch as a vibrant young woman with great intellect and are contrasted with the novelist's later life, after the effects of Alzheimer's disease have ravaged her. Murdoch's great mind deteriorates until she is reduced to a mere vestige of her former self, unable to perform simple tasks and completely reliant on her at times frustrated yet devoted husband.","['Biography', 'Drama', 'Romance']"
Galaxina,"The crew of the police cruiser Infinity is finally heading home after a long stay in deep space. Just when they think they are about to get some much needed rest and relaxation, the crew is given a new mission: journey to the alien world Altar One to find the Blue Star, a mystical gem that holds unlimited power. Their journey to find the Blue Star leads them to an outer space brothel full of alien women and a gang that worships Harley-Davidson motorcycles. Can sexy robot Galaxina and the crew find the Blue Star and save the world? Will the ship's pilot succumb to the beauty of the ship's sexy robot Galaxina?","['Comedy', 'Sci-Fi']"
The Chorus,"Fond de l'Etang is a boarding school for troubled boys located in the French countryside. In the mid-twentieth century, it is run by the principal M. Rachin, an egotistical disciplinarian whose official unofficial mantra for the school is ""action - reaction"", meaning that there will be severe consequences for any boy out of line. This approach does not seem to be working as the boys as a collective are an unruly bunch. In turn, the teachers don't teach, but are always watching out for the next subversive act from the boys. January 15, 1949 marks the arrival to the school of the new supervisor, M. Clément Mathieu, a middle-aged man who is grasping at finding his place in life after a series of failed endeavors. Although he does find the boys an unruly lot, Mathieu does not believe in the ""action - reaction"" policy, and as such, butts heads with Rachin while secretly undermining the policy. Slowly, Mathieu's approach of trying to match the discipline to the crime does have a positive effect on a handful of students. With the reluctant approval of Rachin, Mathieu begins a grander experiment of trying to transform the overall atmosphere within the school, core within the experiment being to start a choir among his students. This move is a difficult one for him as a failed musician, as well as for the initially reluctant students. During this process, Mathieu focuses on two different students for two different reasons. Pépinot, a younger boy, seems to lack guidance and focus, and who always says he is waiting for Saturday when his father will pick him up, he who never does. And Pierre Morhange, an older student, is the anachronism: introverted, but prone to outbursts of individual subversiveness - the devil with the face of an angel as the other teachers describe him. Behind the reason for his subversiveness, which Mathieu slowly learns, Morhange hides a love of music and a true talent in it. Beyond overcoming the obvious obstacles of Rachin and the students' skepticism and Rachin's egotism, Mathieu has another challenge in newly arrived Pascal Mondain, a truly troubled older boy with pathological tendencies whose presence alone may wreak havoc throughout the school, and not just with Mathieu's project. Over fifty years later, Morhange and Pépinot, who have not seen each other since that time and who did not spend that much time together while at school, are reading through Mathieu's memoirs from his time at the school, which unmasks the reason why the two are privy to the memoir and the effect he had on their lives.","['Drama', 'Music']"
Mambo Italiano,"Angelo Barberini is the oddball son of Italian immigrants Gino and Maria, who inadvertently ended up in Canada rather than the States. Angelo shocks his parents by moving out on his own without getting married, and shocks them further still when he reveals that he's gay. But his boyfriend, policeman Nino Paventi isn't as ready to come out of the closet -- especially not to his busybody mother, Lina.","['Comedy', 'Drama', 'Romance']"
Wonderland,"John Holmes was a legend of the porn industry and revered in circles as a stud. But in 1981, years after his successful career and star fading, Holmes was a desperate man with his own internal demons to live up to. He's estranged from his wife, holding onto a relationship with his teenage mistress, and living as a junkie in search of his next fix. But one fateful night left four people dead and John as a key suspect in one of the most grisly murders in Los Angeles. Was he partly responsible for what happened at Wonderland Avenue?","['Crime', 'Drama', 'Mystery', 'Thriller']"
Do the Right Thing,"This film looks at life in the Bedford-Stuyvesant district of Brooklyn on a hot summer Sunday. As he does everyday, Sal Fragione opens the pizza parlor he's owned for 25 years. The neighborhood has changed considerably in the time he's been there and is now composed primarily of African-Americans and Hispanics. His son Pino hates it there and would like nothing better than to relocate the eatery to their own neighborhood. For Sal however, the restaurant represents something that is part of his life and sees it as a part of the community. What begins as a simple complaint by one of his customers, Buggin Out - who wonders why he has only pictures of famous Italian-Americans on the wall when most of his customers are black - eventually disintegrates into violence as frustration seemingly brings out the worst in everyone.","['Comedy', 'Drama']"
Harvard Man,"College has always been a time for experimentation, sexual, cultural and otherwise. ""Harvard Man"" plays out against a background of love, sex, basketball, crime and experimentation. Action and philosophy in young people's quest to discover their true identity.","['Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']"
Le Havre,"A dock worker in Le Havre hears a human sound inside one of the containers in port, that container which left Gabon three weeks ago and which was supposed to arrive in London five days after its departure from Gabon, which didn't happen. The Le Havre police and French border guards find a still alive group of illegal African immigrants inside. On the sign from one of his elders, a young teen boy among the illegal immigrants manages to escape, news of which hits the local media. The first friendly face that boy, Idrissa, encounters is that of former artist now aged shoeshine Marcel Marx. Marcel decides to help Idrissa by hiding him in his house, news which slowly trickles through his community of friends - most of whom he associates with at his local bar - and neighbors, most who assist Marcel in this task. Marcel goes to great lengths to find out Idrissa's story, which leads to Marcel's further task of trying to get Idrissa to London, his original end destination. The one neighbor who wants to turn Idrissa in and the authorities seem to be on to Marcel's activities, most specifically hard nosed police Inspector Monet, who may have his own private agenda. Through it all, Marcel has on his mind the health of his terminally ill and hospitalized wife Arletty, the terminal aspect being something of which he is unaware and which may in turn eventually kill him as Arletty is his life.","['Comedy', 'Drama']"
Irreversible,"A young woman, Alex, is raped by a stranger in a tunnel. Her boyfriend Marcus and ex-boyfriend Pierre decide to do justice themselves. In 2002, Gaspar Noé created controversy (and controversy) by presenting his film at the Cannes Film Festival. 17 years later, he returns with a brand new version of his cult film. Initially operated in an anechronological form (the film starts at the end and ends at its beginning), with Irreversible ""Full Inversion"" (2019), the filmmaker offers us a completely different reading, offering it to us in a chronological order.","['Crime', 'Drama', 'Mystery', 'Thriller']"
R100,An ordinary man with an ordinary life joins a mysterious club. The membership lasts for one year only and there is one rule: no cancellation under any circumstance. The man enters into a whole new exciting world he never before experienced where crazy love goes wilder and crazier. Is it an illusion or is it real? Welcome to the world no one has dared to explore until now!,"['Comedy', 'Drama']"
Rang De Basanti,"Sue comes to India to make a film on Indian revolutionaries. She is helped by her friend Sonia who introduces her to her friends Karan, Aslam, Sukhi, and their head DJ. Sonia's fiance, Lt Ajay Rathod, also joins the gang when in town. Their gang always gets in trouble with political member Laxman who opposes their Western culture. After many auditions Sue decides to cast DJ and his friends in her film; she also gives Laxman a role, ending his feud with the gang. Everything goes well until Ajay dies in a plane crash but manages to save everyone else on board. The state minister declares that Ajay died due to his own negligence. DJ an his friends can't take this shame given to Ajay by the minister and decide to fight for justice, but political games interfere.","['Comedy', 'Crime', 'Drama']"
Animals,"ANIMALS tells the story of Jude and Bobbie: a young couple that exist somewhere between homelessness and the fantasy of their imaginations. Though they masterfully con and steal in an attempt to stay one step ahead of their addiction, they are ultimately forced to face the reality of their situation when one of them gets hospitalized.","['Drama', 'Romance']"
Salvation Boulevard,,"['Comedy', 'Crime', 'Drama', 'Thriller']"
The Ten,"Quirky interrelated stories. Standing by two tablets, Jeff promises to introduce 10 short stories, each about one of the Commandments. A man survives a fall from a plane and his fiancée marries someone else before falling in love with a marionette; a surgeon causes a patient's death and in prison tries to choose his mate; a woman encounters Jesus in Mexico and later confronts her husband on the Sabbath; twins and their mother reflect on fatherhood; covetous neighbors miss a chance to be heroes; and Jeff's love triangle with Gretchen and Liz plays out between each story. In the end, all the characters join in singing that it's all about love.","['Comedy', 'Romance']"
A Room for Romeo Brass,"Two twelve-year-old boys, Romeo and Gavin, undergo an extraordinary test of character and friendship when Morell, a naive but eccentric and dangerous stranger, comes between them. Morell befriends with the two boys and later asks them to help him pursue Romeo's beautiful elder sister. He gradually becomes more violent after she rejects him ...","['Comedy', 'Drama']"
Headhunters,"Roger is a human resources manager in a large company and has a wonderful home and a beautiful wife, Dian who owns an art gallery. But he lives in greater luxury than he should. In order to continue this, he has a second job; art theft. Diana introduces him to Clas, a former executive for GPS tech company, who wants to work for Pathfinder, whom Roger is recruiting for. In addition to being the perfect candidate for the job at Roger's company, he is the owner of a very valuable painting. Roger seeks the opportunity and immediately begins to plan his greatest hit. But what Clas encounters in his home will put him in a very difficult way to return.","['Action', 'Crime', 'Thriller']"
Grabbers,"Police officer Lisa Nolan comes to Aran Island, Ireland, to take charge during a colleague's two-week holiday. Simultaneously, blood-thirsty, sea-dwelling aliens arrive at the quiet island to propagate. As dead whales wash up on shore and people start mysteriously disappearing, officers and a few locals slowly discover their peril along with one sure defense - high blood alcohol levels, which the aliens can't stomach. As a storm approaches, enabling hungry hatchlings access to the locals, an open bar kicks off a desperate bid for survival as inebriated police and friends stagger to remain cognizant long enough to thwart the alien invasion.","['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Thriller']"
